Date;Open;High;Low;Close
2002-11-19;79;79,25;78,8;78,8
2002-11-20;78,7;79,94;78,68;79,94
2002-11-21;80,5;81,2;80,5;81,2
2002-11-22;80,4;80,64;80,01;80,01
2002-11-25;80,01;80,39;79,74;80,39
2002-11-26;79,2;79,2;78,35;78,35
2002-11-27;80,75;80,84;80,75;80,84
2002-11-29;81,35;81,35;81,16;81,16
2002-12-02;81,5;81,65;80,8;81,65
2002-12-03;82,03;82,03;81,56;81,6
2002-12-04;80,88;80,88;80,88;80,88
2002-12-05;81,6;81,6;81,38;81,4
2002-12-06;81,5;81,94;81,35;81,94
2002-12-09;81,8;82,3;80,46;80,46
2002-12-10;80,5;81,5;80,5;81,5
2002-12-11;81,48;81,48;81,1;81,1
2002-12-12;81,35;82,34;81,35;82,34
2002-12-13;82,25;82,34;81,61;82,05
2002-12-16;82,5;83,55;82,5;83,55
2002-12-17;84;84;82,86;83
2002-12-18;82,25;82,38;81,5;81,7
2002-12-19;81,7;82;81,02;81,02
2002-12-20;81,25;82,45;81,25;82,45
2002-12-23;82,75;83,09;82,39;82,81
2002-12-24;82,95;82,95;82,27;82,4
2002-12-26;82,16;82,71;81,94;81,94
2002-12-27;81,88;81,88;80,71;81,05
2002-12-30;81,05;81,05;80,92;80,95
2002-12-31;81,17;81,39;80,16;81,39
2003-01-02;81,79;83,05;81,61;83,05
2003-01-03;83,2;83,2;82,87;83
2003-01-06;83,45;84,35;83,45;84,19
2003-01-07;83,35;83,35;81,57;81,7
2003-01-08;81;81,31;80,47;80,47
2003-01-09;80,65;81,62;80,65;81,62
2003-01-10;81,6;81,85;81,6;81,85
2003-01-13;81,75;81,75;80,99;81,44
2003-01-14;81,6;81,6;81;81,1
2003-01-15;81;81,65;80,93;81,58
2003-01-16;81,5;82,32;81,5;82,32
2003-01-17;82,1;82,2;81,76;81,83
2003-01-21;80,9;80,9;79,7;79,7
2003-01-22;79;79,74;78,39;79,59
2003-01-23;79,4;80,27;79,4;80,02
2003-01-24;79,1;79,36;78,58;78,62
2003-01-27;77,4;77,66;76,01;76,64
2003-01-28;76,35;77,4;76,35;77,4
2003-01-29;77;79,58;77;79,35
2003-01-30;79,35;79,64;78,45;78,45
2003-01-31;77,4;79,6;77,4;79,25
2003-02-03;79,25;79,65;79,25;79,63
2003-02-04;79,31;80,55;79,31;80,52
2003-02-05;80,7;80,75;79,89;80,1
2003-02-06;79,35;79,35;78,54;79
2003-02-07;79;79,11;78,3;78,3
2003-02-10;78,3;78,98;78,3;78,5
2003-02-11;79;79;78,77;78,9
2003-02-12;78,6;78,6;77,3;77,3
2003-02-13;77,35;77,4;76,7;76,85
2003-02-14;77,35;77,6;77,35;77,54
2003-02-18;78,3;79,12;78,3;78,72
2003-02-19;78,89;78,99;78,89;78,99
2003-02-20;79,13;79,14;78,92;78,92
2003-02-21;79;80,58;79;80,5
2003-02-24;80,92;81,1;80,75;81
2003-02-25;81,06;81,06;80,05;80,6
2003-02-26;80,2;80,36;80,16;80,36
2003-02-27;80,64;80,77;80,12;80,16
2003-02-28;80,3;80,74;80,3;80,74
2003-03-03;81,14;81,15;80,79;81
2003-03-04;80,52;80,66;80,14;80,14
2003-03-05;80,65;80,69;80,4;80,69
2003-03-06;80,35;80,59;80,02;80,29
2003-03-07;79,9;80,45;79,71;80,45
2003-03-10;80,35;80,35;78,91;78,92
2003-03-11;78,9;79,45;78,63;78,63
2003-03-12;76,9;76,9;76,17;76,84
2003-03-13;77,55;77,61;77,21;77,61
2003-03-14;77,5;77,86;77,5;77,71
2003-03-17;78,25;79,31;78,25;79,12
2003-03-18;78,39;79,87;78,39;79,87
2003-03-19;80,25;80,25;79,83;79,9
2003-03-20;80,15;80,98;79,7;80,98
2003-03-21;80,8;80,8;80,31;80,62
2003-03-24;80,45;80,45;78,85;78,85
2003-03-25;79,41;80,42;79,41;79,95
2003-03-26;80,12;80,12;79,53;79,53
2003-03-27;79,28;80,16;79,28;79,98
2003-03-28;79,85;79,85;79,85;79,85
2003-03-31;79,5;79,71;79,31;79,33
2003-04-01;80,1;80,69;80,1;80,69
2003-04-02;80,14;80,31;80,14;80,31
2003-04-03;80,65;80,65;79,41;79,45
2003-04-04;79,8;80,14;79,6;79,83
2003-04-07;80,2;80,63;79,59;79,59
2003-04-08;79,15;79,34;79,02;79,05
2003-04-09;79,46;79,46;79;79,22
2003-04-10;79,28;79,8;79,28;79,8
2003-04-11;79,95;79,95;79,26;79,63
2003-04-14;79,59;79,86;79,59;79,86
2003-04-15;79,84;80,19;79,83;80,19
2003-04-16;79,7;79,89;79,35;79,4
2003-04-17;80,23;80,76;80,23;80,76
2003-04-21;80,8;81,25;80,8;81,09
2003-04-22;81,39;82,27;81,39;82,15
2003-04-23;82,3;82,39;81,6;82,09
2003-04-24;81,5;81,88;81,21;81,47
2003-04-25;80,38;80,62;80,38;80,5
2003-04-28;80,56;81,02;80,56;80,84
2003-04-29;80,7;80,96;80,12;80,19
2003-04-30;79,95;80,73;79,95;80,45
2003-05-01;80,84;80,84;80,23;80,39
2003-05-02;80,91;82,15;80,91;82,09
2003-05-05;82,22;82,71;82,22;82,65
2003-05-06;83,24;83,38;82,81;82,81
2003-05-07;82,85;83,5;82,63;83,5
2003-05-08;82,95;83,78;82,76;83,29
2003-05-09;83,5;84,04;83,34;84,04
2003-05-12;84,25;85,24;84,25;84,95
2003-05-13;84,87;85,53;84,84;85,53
2003-05-14;85,65;85,73;85,28;85,73
2003-05-15;86,15;86,15;85,86;85,98
2003-05-16;86,23;86,34;86,11;86,34
2003-05-19;85,9;85,9;85,5;85,5
2003-05-20;85,75;85,79;84,85;85,06
2003-05-21;86,09;87,37;86,09;87,37
2003-05-22;87,3;87,46;87,14;87,44
2003-05-23;87,38;87,94;87,38;87,94
2003-05-27;87,4;89,58;87,4;89,58
2003-05-28;89,1;89,11;88,46;88,79
2003-05-29;88,6;88,6;88,03;88,06
2003-05-30;88,1;89,04;88,1;89,03
2003-06-02;89,65;90,35;89,65;90,04
2003-06-03;90;90,22;89,57;90,22
2003-06-04;90;91,32;90;91,22
2003-06-05;90,55;91,45;90,51;91,45
2003-06-06;91,4;91,91;91,4;91,54
2003-06-09;90,48;90,59;90,21;90,5
2003-06-10;91,12;91,12;90,61;91,09
2003-06-11;91,4;93,62;91,4;93,62
2003-06-12;93,65;93,96;92,76;93,17
2003-06-13;91,93;91,93;91,3;91,64
2003-06-16;91,5;91,75;90,96;91,75
2003-06-17;91;91,51;91;91,21
2003-06-18;90,85;90,87;90,74;90,76
2003-06-19;90,73;91,3;90,61;90,98
